No,Name,Genre,RMS,LUFS,LRA,N peaks,DR,Crest,LR coeff,MS coeff
76,../master-dynamics/audio/76.mp3,house,0.17333564162254333,-11.322094917297363,1.5635509490966797,0,8.748537,6.131528854370117,-0.005188927054405212,0.3111957493400214
149,../master-dynamics/audio/149.mp3,reggae,0.28198137879371643,-7.187087059020996,0.8960304260253906,6,4.115733,4.526015758514404,0.0025562942028045654,0.3036237961963904
604,../master-dynamics/audio/604.mp3,soul,0.10327734798192978,-16.553802490234375,3.384702682495117,0,12.897861,7.767645359039307,-2.0116567611694336e-07,8.622829123977999e-05
326,../master-dynamics/audio/326.mp3,electronic,0.3029502332210541,-8.905782699584961,0.7510232925415039,5,7.9303465,4.237015247344971,-0.013306975364685059,0.2141120515096849
46,../master-dynamics/audio/46.mp3,house,0.2575305104255676,-7.97458028793335,13.59554672241211,10,20.751842,5.858495235443115,-0.005598574876785278,0.3454748106465041
187,../master-dynamics/audio/187.mp3,k-pop,0.3633183240890503,-4.766304016113281,2.4248809814453125,1485,8.706044,3.850635051727295,-0.0013301670551300049,0.32894974779619246
184,../master-dynamics/audio/184.mp3,k-pop,0.3026382029056549,-6.634024143218994,2.828287124633789,263,6.4895973,4.570756435394287,-0.005725890398025513,0.33554620065225343
584,../master-dynamics/audio/584.mp3,soul,0.21094992756843567,-8.07780647277832,2.1918811798095703,0,7.7826877,6.177185535430908,0.0944269597530365,0.49498591984692347
329,../master-dynamics/audio/329.mp3,electronic,0.2720642387866974,-10.074176788330078,5.64954948425293,98,10.524509,5.25565242767334,-0.005807548761367798,0.14791191913162122
435,../master-dynamics/audio/435.mp3,pop,0.23804636299610138,-9.574150085449219,2.738661766052246,0,11.096055,5.039096355438232,0.0004410594701766968,0.18645444628390076
662,../master-dynamics/audio/662.mp3,disco,0.09230459481477737,-17.525854110717773,3.1654205322265625,0,12.0231695,11.952366828918457,-0.012030385434627533,0.2686959301250786
370,../master-dynamics/audio/370.mp3,funk,0.3058331310749054,-8.042542457580566,1.189702033996582,369,6.6386747,4.474431991577148,-0.034254640340805054,0.1376908872410362
559,../master-dynamics/audio/559.mp3,rock,0.21965937316417694,-10.549077033996582,1.1764230728149414,123,8.3775,6.188733100891113,-0.03353185951709747,0.2593980271016823
407,../master-dynamics/audio/407.mp3,rhythm and blues,0.1342761367559433,-13.280965805053711,2.48175048828125,0,10.8018265,7.630979537963867,-2.086162567138672e-07,6.581259952461231e-05
503,../master-dynamics/audio/503.mp3,orchestral,0.07335150986909866,-17.99983024597168,12.753069877624512,0,19.415579,9.580632209777832,-0.00113600492477417,0.42140730072190635
109,../master-dynamics/audio/109.mp3,jazz,0.258745938539505,-7.915350437164307,1.8856911659240723,8,5.1448345,4.9223313331604,-0.05061823129653931,0.398782163456749
644,../master-dynamics/audio/644.mp3,disco,0.16823996603488922,-12.726118087768555,2.3397016525268555,0,8.423291,7.06216287612915,0.02016150951385498,0.3223759883224102
529,../master-dynamics/audio/529.mp3,reggaeton,0.2708085775375366,-11.077079772949219,2.8277225494384766,21,8.914846,4.782100677490234,0.00424996018409729,0.16040862078410023
332,../master-dynamics/audio/332.mp3,electronic,0.16653472185134888,-13.891030311584473,1.7985916137695312,0,9.367946,9.162280082702637,-0.03669586777687073,0.3372175164877941
464,../master-dynamics/audio/464.mp3,pop,0.3314889073371887,-6.851036071777344,3.1808462142944336,1036,8.633788,4.225905895233154,-0.008726686239242554,0.215525325105112
229,../master-dynamics/audio/229.mp3,hip-hop,0.31481415033340454,-9.658048629760742,1.5722465515136719,1122,11.717076,4.533383846282959,0.0028124749660491943,0.14655265406003648
13,../master-dynamics/audio/13.mp3,classical,0.04298106208443642,-22.035810470581055,12.417991638183594,0,35.36522,13.354178428649902,-0.0073629580438137054,0.4538152669397719
520,../master-dynamics/audio/520.mp3,reggaeton,0.2821941673755646,-9.05817985534668,3.4135560989379883,1028,9.508752,5.660977840423584,0.008673220872879028,0.24802244329260326
